g:id,title,description,link,g:image_link,g:additional_image_link,g:brand,g:gtin,g:mpn,g:price,g:sale_price,g:availability,g:condition,g:product_type,g:google_product_category,g:item_group_id,g:color,g:size,g:material,g:shipping_weight,g:product_rating,g:number_of_ratings,is_eligible_search,is_eligible_checkout,bandenmaat,breedte_mm,wielmaat,druk_bar,antilek,tubeless,wasvoorschrift,garantie,aansluiting,samenstelling,lichtdoorlatendheid
SKU-1115,Kenda Artikel 1115,"Kenda artikel voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1115,https://picsum.photos/seed/1115/300/300,https://picsum.photos/seed/1115b/300/300,Kenda,877888245403,,54.95 EUR,,in stock,new,,,,Wit,,,,,,true,,,,,,,,,,,,
SKU-1015,Schwalbe Fietsbanden 1015,"Schwalbe fietsbanden voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1015,https://picsum.photos/seed/1015/300/300,,Schwalbe,,SCH-1015,61.49 EUR,,in stock,new,Fietsbanden > Stadsfiets,,,,,,564 g,,,true,true,40-622,,,,Puncture Protect,,,,,,
SKU-1103,Kenda Woontextiel 1103,"Kenda woontextiel voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1103,https://picsum.photos/seed/1103/300/300,,Kenda,,KEN-1103,44.72 EUR,,in stock,new,Woontextiel > Gordijnstof,3235,,,,,621 g,,,true,,,,,,,,,,,100% polyester,
SKU-1016,Michelin Fietsbanden 1016,"Michelin fietsbanden voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1016,https://picsum.photos/seed/1016/300/300,,Michelin,,,26.26 EUR,,out of stock,new,Fietsbanden > Stadsfiets,,,Blauw,,,465 g,,,true,true,40-622,37,,4-7 bar,,,,,,,
SKU-1029,Vredestein Fietsbanden 1029,Mooi product.,https://voorbeeldshop.nl/p/sku-1029,https://picsum.photos/seed/1029/300/300,https://picsum.photos/seed/1029b/300/300,Vredestein,874850335889,,84.56 EUR,,out of stock,,Fietsbanden > Stadsfiets,3235,,,,,,,,true,true,40-622,,,,Puncture Protect,,,,,,
SKU-1117,Continental Artikel 1117,"Continental artikel voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1117,https://picsum.photos/seed/1117/300/300,,Continental,,CON-1117,52.34 EUR,,in stock,new,,3235,,Blauw,,,289 g,,,true,true,,,,,,,,,,,
SKU-1106,Michelin Woontextiel 1106,"Michelin woontextiel voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1106,https://picsum.photos/seed/1106/300/300,,Michelin,871195765378,,71.46 EUR,,in stock,,Woontextiel > Gordijnstof,3235,,Blauw,,,,,,true,,,,,,,,,,,,Verduisterend
SKU-1118,Michelin Artikel 1118,Mooi product.,https://voorbeeldshop.nl/p/sku-1118,https://picsum.photos/seed/1118/300/300,,Michelin,879784846606,,64.95 EUR,,in stock,new,,,,Blauw,,,,,,true,true,,,,,,,,,,,
SKU-1068,Schwalbe Kleding 1068,"Schwalbe kleding voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1068,https://picsum.photos/seed/1068/300/300,https://picsum.photos/seed/1068b/300/300,Schwalbe,,,48.68 EUR,,in stock,new,Kleding > Fietskleding,3235,GRP-213,,M,,583 g,4.6,201,true,true,,,,,,,"30 graden, binnenstebuiten",,,,
SKU-1077,Schwalbe Elektronica 1077,"Schwalbe elektronica voor dagelijks gebruik, met een slijtvaste toplaag en een stevige constructie die lang meegaat.",https://voorbeeldshop.nl/p/sku-1077,https://picsum.photos/seed/1077/300/300,https://picsum.photos/seed/1077b/300/300,Schwalbe,879284041145,SCH-1077,61.46 EUR,,in stock,new,Elektronica > Verlichting,,,Wit,,,,,,true,,,,,,,,,,,,
