sku,name,brand,category_path,description,image_url,color,material,width_cm,weight,ean,product_type,care_instructions,light_transmission,size,gender,model_number,compatibility,tyre_size,wheel_size,puncture_protection,connection,warranty
SKU-1001,Vredestein Fietsbanden 1001,Vredestein,Fietsbanden > Stadsfiets,Korte tekst,https://picsum.photos/seed/1001/300/300,,,,,877888241001,Fietsbanden,,,,,,,47-559,28 inch,Anti-lek laag,,
SKU-1002,Vredestein Fietsbanden 1002,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1002/300/300,Groen,,,,877888241002,Fietsbanden,,,,,,,47-559,26 inch,Anti-lek laag,,
SKU-1003,Vredestein Fietsbanden 1003,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1003/300/300,Zwart,,,,877888241003,Fietsbanden,,,,,,,37-622,,Anti-lek laag,,
SKU-1004,Vredestein Fietsbanden 1004,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1004/300/300,Wit,,,,877888241004,Fietsbanden,,,,,,,,26 inch,Anti-lek laag,,
SKU-1005,Vredestein Fietsbanden 1005,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1005/300/300,,,,,877888241005,Fietsbanden,,,,,,,47-559,28 inch,Geen,,
SKU-1006,Vredestein Fietsbanden 1006,Vredestein,Fietsbanden > Stadsfiets,Korte tekst,https://picsum.photos/seed/1006/300/300,Wit,,,,877888241006,Fietsbanden,,,,,,,,700c,Anti-lek laag,,
SKU-1007,Vredestein Fietsbanden 1007,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1007/300/300,Groen,,,,877888241007,Fietsbanden,,,,,,,37-622,700c,Geen,,
SKU-1008,Vredestein Fietsbanden 1008,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1008/300/300,Groen,,,,877888241008,Fietsbanden,,,,,,,40-635,28 inch,,,
SKU-1009,Vredestein Fietsbanden 1009,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1009/300/300,,,,,877888241009,Fietsbanden,,,,,,,47-559,26 inch,Geen,,
SKU-1010,Vredestein Fietsbanden 1010,Vredestein,Fietsbanden > Stadsfiets,"Vredestein artikel voor dagelijks gebruik, met een slijtvaste afwerking die lang meegaat.",https://picsum.photos/seed/1010/300/300,Zand,,,,877888241010,Fietsbanden,,,,,,,37-622,26 inch,Geen,,
SKU-1011,Vredestein Fietsbanden 1011,Vredestein,Fietsbanden > Stadsfiets,Korte tekst,https://picsum.photos/seed/1011/300/300,Blauw,,,,877888241011,Fietsbanden,,,,,,,,700c,Geen,,
